L	R	M	C
   0   0   0   1  30
   0   0   1   1  18
   0   0   2   9  18
   0   0   3   8  24
   0   0   4   9  31
   0   0   5  11  30
   0   1   0  12  25
   0   1   1   4  18
   0   1   2  10  17
   0   1   3   0  18
   0   1   4   3  19
   0   1   5  14  17
   0   2   0   0  16
   0   2   1   0  16
   0   2   2   0  16
   0   2   3   0  16
   0   2   4   0  16
   0   2   5   0  16
   0   3   0   0  20
   0   3   1   9  29
   0   3   2   0  19
   0   3   3   1  18
   0   3   4   0  18
   0   3   5   6  23
   0   4   0   0  21
   0   4   1   1  23
   0   4   2   8  18
   0   4   3   7  16
   0   4   4  11  28
   0   4   5   1  22
   0   5   0  12  20
   0   5   1  10  17
   0   5   2   0  17
   0   5   3   1  26
   0   5   4  11  21
   0   5   5  11  19
   1   0   0   3  25
   1   0   1   7  27
   1   0   2  10  31
   1   0   3   0  30
   1   0   4   0  17
   1   0   5   0  27
   1   1   0   4  30
   1   1   1  12  29
   1   1   2   0  22
   1   1   3   7  31
   1   1   4   0  22
   1   1   5   1  20
   1   2   0   0  28
   1   2   1  11  31
   1   2   2   8  31
   1   2   3   0  29
   1   2   4   4  25
   1   2   5   3  26
   1   3   0   9  26
   1   3   1  11  25
   1   3   2   0  19
   1   3   3   1  29
   1   3   4   0  31
   1   3   5   5  23
   1   4   0   1  21
   1   4   1  12  21
   1   4   2   3  24
   1   4   3   0  19
   1   4   4   1  19
   1   4   5  11  17
   1   5   0   0  24
   1   5   1   0  29
   1   5   2   0  21
   1   5   3   0  29
   1   5   4   2  27
   1   5   5   5  17
   2   0   0  11  28
   2   0   1  11  21
   2   0   2   6  20
   2   0   3   4  28
   2   0   4  13  27
   2   0   5  11  30
   2   1   0  11  24
   2   1   1  11  20
   2   1   2  12  17
   2   1   3   0  20
   2   1   4  12  19
   2   1   5  11  26
   2   2   0   9  17
   2   2   1   5  21
   2   2   2  10  20
   2   2   3   5  20
   2   2   4  11  21
   2   2   5   6  18
   2   3   0   0  27
   2   3   1   5  20
   2   3   2   5  20
   2   3   3  11  16
   2   3   4   5  21
   2   3   5   4  24
   2   4   0  11  29
   2   4   1  10  19
   2   4   2  12  19
   2   4   3  11  20
   2   4   4  11  20
   2   4   5  11  26
   2   5   0  11  24
   2   5   1   0  30
   2   5   2  11  18
   2   5   3  11  21
   2   5   4  11  30
   2   5   5   2  17
   3   0   0   2  19
   3   0   1  14  22
   3   0   2   3  20
   3   0   3   6  29
   3   0   4   0  29
   3   0   5   3  20
   3   1   0  12  29
   3   1   1  11  20
   3   1   2   0  20
   3   1   3   4  17
   3   1   4   4  20
   3   1   5   0  29
   3   2   0   2  24
   3   2   1   0  29
   3   2   2   3  31
   3   2   3  10  30
   3   2   4  11  29
   3   2   5   5  27
   3   3   0   0  19
   3   3   1   0  19
   3   3   2   3  27
   3   3   3  10  16
   3   3   4   5  28
   3   3   5   0  27
   3   4   0   4  20
   3   4   1  12  27
   3   4   2   0  21
   3   4   3  11  21
   3   4   4   3  27
   3   4   5   1  31
   3   5   0  11  28
   3   5   1   1  22
   3   5   2  10  28
   3   5   3   4  29
   3   5   4  11  22
   3   5   5   0  28
   4   0   0   0  29
   4   0   1   8  18
   4   0   2   2  19
   4   0   3   8  30
   4   0   4  11  31
   4   0   5   5  20
   4   1   0   0  16
   4   1   1   0  16
   4   1   2   0  16
   4   1   3   0  16
   4   1   4   0  16
   4   1   5   0  16
   4   2   0  12  21
   4   2   1   3  27
   4   2   2  11  20
   4   2   3   5  20
   4   2   4  11  19
   4   2   5   0  28
   4   3   0  12  28
   4   3   1   4  21
   4   3   2  14  25
   4   3   3  11  27
   4   3   4   5  19
   4   3   5   0  30
   4   4   0   1  20
   4   4   1  13  21
   4   4   2  12  31
   4   4   3  10  21
   4   4   4  10  20
   4   4   5   3  31
   4   5   0   6  18
   4   5   1  10  28
   4   5   2   3  27
   4   5   3  11  29
   4   5   4  11  19
   4   5   5   8  27
   5   0   0   8  27
   5   0   1   5  29
   5   0   2  22
   5   0   3   9  26
   5   0   4  10  23
   5   0   5   0  16
   5   1   0  11  28
   5   1   1  11  29
   5   1   2   7  30
   5   1   3   4  21
   5   1   4  11  30
   5   1   5  11  31
   5   2   0   2  23
   5   2   1   8  26
   5   2   2   2  31
   5   2   3  12  22
   5   2   4  14  29
   5   2   5   0  21
   5   3   0   1  29
   5   3   1   4  20
   5   3   2  11  27
   5   3   3  14  27
   5   3   4   4  22
   5   3   5   0  31
   5   4   0  12  30
   5   4   1   1  21
   5   4   2  11  16
   5   4   3   5  26
   5   4   4  14  27
   5   4   5   1  19
   5   5   0  12  30
   5   5   1  10  29
   5   5   2   0  28
   5   5   3  11  29
   5   5   4   9  28
   5   5   5  11  27
   6   0   0  15  30
   6   0   1  10  27
   6   0   2   8  23
   6   0   3  12  20
   6   0   4   1  24
   6   0   5   5  23
   6   1   0  11  28
   6   1   1   6  27
   6   1   2   1  22
   6   1   3  14  23
   6   1   4  12  21
   6   1   5   0  31
   6   2   0  15  23
   6   2   1  11  29
   6   2   2  12  17
   6   2   3  11  27
   6   2   4   6  28
   6   2   5  12  17
   6   3   0   5  18
   6   3   1   4  30
   6   3   2  12  31
   6   3   3  11  26
   6   3   4  12  20
   6   3   5  11  28
   6   4   0   1  28
   6   4   1   1  30
   6   4   2  11  20
   6   4   3  11  20
   6   4   4  11  26
   6   4   5  10  17
   6   5   0  13  19
   6   5   1  15  21
   6   5   2  10  31
   6   5   3  12  30
   6   5   4   6  21
   6   5   5  11  19
