Layer	Row	Module	Channel	Pedestal
         0         0         0         0   121.894   2.55018
         0         0         0         1   161.269    2.3804
         0         0         0         2   124.297   2.45697
         0         0         0         3   161.052   2.60497
         0         0         0         4   150.936   2.63598
         0         0         0         5   170.332   2.63529
         0         0         0         6   119.599   2.61471
         0         0         0         7   106.842   2.44411
         0         0         0         8   118.803   2.56684
         0         0         0         9   131.085   2.57301
         0         0         0        10   136.434   2.51634
         0         0         0        11   170.115    2.4649
         0         0         0        12   116.369   2.49749
         0         0         0        13    144.67   2.68814
         0         0         0        14   117.234   2.86737
         0         0         0        15   152.945   3.64152
         0         0         0        16   136.954   3.49321
         0         0         0        17   113.832   2.80603
         0         0         0        18   144.924   2.62928
         0         0         0        19   139.794   2.56718
         0         0         0        20   139.389   2.79564
         0         0         0        21   152.988   2.95291
         0         0         0        22   141.223   2.84833
         0         0         0        23   156.848   3.19481
         0         0         0        24   142.843   3.88623
         0         0         0        25   180.681   4.36616
         0         0         0        26   140.412   4.01489
         0         0         0        27   1082.55   5.05848
         0         0         0        28   134.048   2.40541
         0         0         0        29   153.966   2.62202
         0         0         0        30   97.6368   2.35222
         0         0         0        31   198.441   2.49046
         0         0         1         0   107.005   2.53575
         0         0         1         1   84.6776   2.23401
         0         0         1         2   92.4931   2.36072
         0         0         1         3   110.559   2.56953
         0         0         1         4   97.4209   2.52078
         0         0         1         5   152.807   2.82837
         0         0         1         6   124.667   2.80175
         0         0         1         7   108.356   2.49744
         0         0         1         8   124.512   2.53737
         0         0         1         9   87.9398   2.24833
         0         0         1        10   147.908   2.48109
         0         0         1        11   102.577   2.46392
         0         0         1        12   93.9504   2.44522
         0         0         1        13   106.076    2.6422
         0         0         1        14   154.728   2.71401
         0         0         1        15   72.3891   2.72641
         0         0         1        16   126.243   2.68886
         0         0         1        17   78.6917   2.19038
         0         0         1        18    73.147   2.00676
         0         0         1        19   85.2676    2.0247
         0         0         1        20   126.948   2.53497
         0         0         1        21   107.755    2.4166
         0         0         1        22   77.2002   2.36248
         0         0         1        23   91.4688   2.40743
         0         0         1        24   136.654   3.07849
         0         0         1        25   102.406   2.31781
         0         0         1        26    86.231   2.24553
         0         0         1        27    139.88   2.57316
         0         0         1        28   145.804   2.39623
         0         0         1        29   135.112   2.33135
         0         0         1        30   86.7084   2.27349
         0         0         1        31   99.2867   2.40006
         0         0         2         0   121.508   2.44599
         0         0         2         1   146.463   2.39485
         0         0         2         2   114.476     2.569
         0         0         2         3   95.5856   2.68586
         0         0         2         4   119.411   2.55083
         0         0         2         5   85.0085   2.54073
         0         0         2         6   107.528   2.67817
         0         0         2         7   105.689   2.79978
         0         0         2         8   99.2795   2.50062
         0         0         2         9   86.7464   2.33596
         0         0         2        10   92.9509   2.52573
         0         0         2        11   89.5479   2.35399
         0         0         2        12   105.476   2.35033
         0         0         2        13   131.635   2.67574
         0         0         2        14   116.602   2.84347
         0         0         2        15   94.1798   2.91738
         0         0         2        16    116.11   2.48051
         0         0         2        17   114.524   2.32223
         0         0         2        18   95.9809   2.31379
         0         0         2        19   135.891   2.45641
         0         0         2        20   113.315   2.48915
         0         0         2        21   103.329    2.4857
         0         0         2        22   105.683   2.39348
         0         0         2        23   111.324   2.31601
         0         0         2        24   118.216   2.54982
         0         0         2        25   111.618   2.57826
         0         0         2        26   130.971   2.62068
         0         0         2        27   111.004   2.51975
         0         0         2        28   133.454   2.46363
         0         0         2        29   103.413   2.41566
         0         0         2        30   127.234   2.43735
         0         0         2        31   118.444     2.485
         0         0         3         0    121.46   2.86811
         0         0         3         1   174.752   3.03722
         0         0         3         2   118.568   2.70279
         0         0         3         3   135.655   2.71579
         0         0         3         4   125.053   2.93691
         0         0         3         5   126.862   3.05032
         0         0         3         6    134.87   2.78798
         0         0         3         7   115.772   2.66007
         0         0         3         8   149.002   2.51662
         0         0         3         9   145.236   2.82461
         0         0         3        10   131.053   4.05772
         0         0         3        11   150.175   3.71721
         0         0         3        12   116.049   3.39565
         0         0         3        13   122.103   3.59046
         0         0         3        14   111.304   2.90205
         0         0         3        15   169.589   3.64039
         0         0         3        16   170.301   2.62382
         0         0         3        17   147.766   2.30663
         0         0         3        18   115.246   2.42629
         0         0         3        19    139.67   2.29667
         0         0         3        20   165.258   2.31935
         0         0         3        21   144.621   2.78133
         0         0         3        22   146.161   2.30741
         0         0         3        23   129.867   2.33941
         0         0         3        24   144.804   2.25154
         0         0         3        25   155.145   2.73578
         0         0         3        26   145.942   2.47036
         0         0         3        27   181.044   2.34499
         0         0         3        28   145.874    2.2911
         0         0         3        29   199.515   2.36893
         0         0         3        30   188.786   2.38696
         0         0         3        31    128.03   2.32316
         0         0         4         0   111.113   2.64743
         0         0         4         1   126.331   2.71033
         0         0         4         2   132.211   2.86669
         0         0         4         3   124.441   2.73586
         0         0         4         4   153.214   2.88876
         0         0         4         5   91.0689   2.83016
         0         0         4         6   123.729   2.67178
         0         0         4         7    82.281   2.59049
         0         0         4         8    103.75   2.74546
         0         0         4         9   115.289   2.47126
         0         0         4        10   146.404   2.51677
         0         0         4        11    126.95   2.93998
         0         0         4        12   101.185    2.6035
         0         0         4        13    127.35   2.70852
         0         0         4        14   110.175   2.93868
         0         0         4        15   135.767   3.11335
         0         0         4        16   126.706   2.73023
         0         0         4        17   142.157   2.49344
         0         0         4        18   95.7075   3.02762
         0         0         4        19   133.093   2.40971
         0         0         4        20   122.545   2.70136
         0         0         4        21    99.383    2.4582
         0         0         4        22   145.479    2.5471
         0         0         4        23    151.33   2.48231
         0         0         4        24   124.393    2.4835
         0         0         4        25    116.47   2.72034
         0         0         4        26   112.571   2.65664
         0         0         4        27   146.546   2.60248
         0         0         4        28   106.605   3.04154
         0         0         4        29   160.775   2.51045
         0         0         4        30   131.099   2.73833
         0         0         4        31    83.625   2.30597
         0         0         5         0   119.358   2.79018
         0         0         5         1   144.558   2.96919
         0         0         5         2   106.394   2.99191
         0         0         5         3   153.318   3.37343
         0         0         5         4   117.776   3.55546
         0         0         5         5   138.137   3.20511
         0         0         5         6   164.302   3.25329
         0         0         5         7   111.507   3.61192
         0         0         5         8   114.118   3.00172
         0         0         5         9   171.825   3.06947
         0         0         5        10   166.866   2.77664
         0         0         5        11   150.326   2.63097
         0         0         5        12   163.849   3.01396
         0         0         5        13   122.543   3.67871
         0         0         5        14    137.18    3.3557
         0         0         5        15   126.119   3.54988
         0         0         5        16   139.149   1.48079
         0         0         5        17   103.169   2.78221
         0         0         5        18   98.8592   3.12428
         0         0         5        19   143.752   3.48252
         0         0         5        20   122.533   4.01762
         0         0         5        21   135.936   3.15174
         0         0         5        22   128.539   2.65094
         0         0         5        23   110.812   3.00348
         0         0         5        24   137.099   3.28824
         0         0         5        25   127.185   2.85708
         0         0         5        26   117.276   3.01818
         0         0         5        27   133.641   2.86021
         0         0         5        28   130.152   3.10645
         0         0         5        29   186.772   2.84185
         0         0         5        30   138.086   2.63021
         0         0         5        31   89.1961   2.67537
         0         1         0         0   163.865   2.66205
         0         1         0         1   116.026   2.38287
         0         1         0         2   108.035   2.51392
         0         1         0         3   121.542   2.76338
         0         1         0         4   116.293   2.67464
         0         1         0         5   105.945    2.5676
         0         1         0         6   129.248    2.8996
         0         1         0         7   135.689   2.64529
         0         1         0         8   103.538   2.53061
         0         1         0         9   114.469   2.59426
         0         1         0        10     117.5   2.56203
         0         1         0        11   120.305   2.53733
         0         1         0        12   78.3483    2.2969
         0         1         0        13   129.366   2.88558
         0         1         0        14   116.777   2.92856
         0         1         0        15   74.8792   2.90001
         0         1         0        16   131.508   2.87794
         0         1         0        17   109.383   2.53196
         0         1         0        18    110.78   2.74154
         0         1         0        19   124.184   2.65786
         0         1         0        20   80.8957   2.28695
         0         1         0        21   61.9267   2.56477
         0         1         0        22   123.995   2.84504
         0         1         0        23   131.194   2.84083
         0         1         0        24   146.611   2.52186
         0         1         0        25   79.0487    2.2421
         0         1         0        26   102.991   2.46563
         0         1         0        27   107.527   2.36633
         0         1         0        28   124.706   2.73276
         0         1         0        29    144.94   2.32765
         0         1         0        30   89.5801   2.24239
         0         1         0        31    80.615   2.25565
         0         1         1         0   138.795   2.35447
         0         1         1         1   152.935   2.34093
         0         1         1         2   97.3404   2.44644
         0         1         1         3   124.571   2.97444
         0         1         1         4   138.462   2.20844
         0         1         1         5   145.978   2.45185
         0         1         1         6   116.403   2.53019
         0         1         1         7   122.224   2.93494
         0         1         1         8   133.569   2.37425
         0         1         1         9   137.039   2.26957
         0         1         1        10   128.754    2.6566
         0         1         1        11   135.628   2.29888
         0         1         1        12   128.022   2.80801
         0         1         1        13   106.198   2.60056
         0         1         1        14   99.5808    2.6328
         0         1         1        15   130.424   3.18782
         0         1         1        16    120.71   2.62975
         0         1         1        17    143.37   2.36384
         0         1         1        18   157.719   2.18564
         0         1         1        19   115.547   2.49707
         0         1         1        20   118.568   2.38084
         0         1         1        21   122.716    2.5216
         0         1         1        22   104.177   2.38577
         0         1         1        23   161.112   2.40989
         0         1         1        24   135.539   2.31545
         0         1         1        25   154.506    2.2699
         0         1         1        26   179.914   2.30824
         0         1         1        27   130.157   2.37957
         0         1         1        28   109.402    2.3509
         0         1         1        29   171.568   2.25168
         0         1         1        30   159.936   2.30792
         0         1         1        31   157.179   2.40817
         0         1         2         0   142.713   2.35594
         0         1         2         1   161.087   2.39324
         0         1         2         2   118.803   2.33604
         0         1         2         3   142.275   2.54924
         0         1         2         4     141.4   2.54143
         0         1         2         5   165.976   2.85409
         0         1         2         6   129.687   4.04228
         0         1         2         7   148.292   2.98474
         0         1         2         8   164.427   2.48394
         0         1         2         9   128.274     2.611
         0         1         2        10   105.378    2.3196
         0         1         2        11   125.842   2.76732
         0         1         2        12   170.781    2.4871
         0         1         2        13   129.376   2.60941
         0         1         2        14   117.227    2.8393
         0         1         2        15   145.384   2.96977
         0         1         2        16   133.562   2.30696
         0         1         2        17   136.941   2.16694
         0         1         2        18    172.87   2.30587
         0         1         2        19   152.839   2.33412
         0         1         2        20   136.095   2.34473
         0         1         2        21   109.752   2.20247
         0         1         2        22   129.078   2.51047
         0         1         2        23   147.138   2.41756
         0         1         2        24   134.776   2.37053
         0         1         2        25   140.581   2.20978
         0         1         2        26   139.473   2.17399
         0         1         2        27   117.789   2.34552
         0         1         2        28   182.436   2.32307
